           2          30
      3.87878     0.202779
      3.87268     0.508313
      3.81985     0.809308
      3.72154      1.09866
      3.58007      1.36953
      3.39876      1.61554
      3.18192      1.83086
      2.93464      2.01043
      2.66278      2.15000
      2.44646      2.15000
      2.25216      1.87516
      2.08980      1.58033
      1.96142      1.26919
      1.86863     0.945649
      1.81259     0.613764
      1.79400     0.277693
      1.81310   -0.0583484
      1.86965    -0.390148
      1.96294    -0.713545
      2.09180     -1.02449
      2.25461     -1.31907
      2.44934     -1.59361
      2.73530     -1.48585
      3.00138     -1.33555
      3.24130     -1.14626
      3.44939    -0.922461
      3.62073    -0.669423
      3.75130    -0.393123
      3.83799    -0.100083
      3.87878     0.202779
